dataset,detector,tracker,reid,HOTA_person,HOTA_car,HOTA_bicycle,HOTA_motorcycle,HOTA_bus,HOTA_truck,HOTA_avg,DetA_avg,AssA_avg,IDF1_avg,MOTA_avg,IDSW_total,tracker_ms_per_frame,tracker_fps,n_frames,n_gt_tracks
stmarc,YOLO26m,bytetrack,no,42.93,35.53,4.41,,,,27.62,20.32,41.31,33.14,13.36,14,2.36,424.0,1000,28
stmarc,YOLO26m,botsort,yes,41.16,38.21,2.43,,,,27.27,19.51,41.39,31.27,11.39,9,4.43,225.8,1000,28
stmarc,YOLO26m,strongsort,yes,34.21,38.11,0.58,,,,24.3,16.83,37.18,27.98,7.15,12,9.72,102.8,1000,28
stmarc,YOLO26m,ocsort,no,27.72,35.62,0.23,,,,21.19,14.56,32.89,24.48,4.68,12,2.1,475.9,1000,28
stmarc,YOLO26m,deepocsort,yes,33.26,36.27,1.01,,,,23.51,16.7,35.67,27.01,7.97,23,5.45,183.4,1000,28
stmarc,YOLO26m,hybridsort,yes,42.01,35.15,7.64,,,,28.27,22.89,36.75,35.98,15.1,35,10.92,91.6,1000,28
stmarc,YOLO26m,boosttrack,yes,35.55,34.24,1.97,,,,23.92,17.94,33.08,28.85,8.77,12,5.52,181.3,1000,28
stmarc,YOLO26m,occluboost,yes,39.0,39.32,2.67,,,,27.0,20.16,38.34,32.21,11.5,7,5.36,186.5,1000,28
stmarc,YOLO26m,sfsort,no,26.78,38.03,1.26,,,,22.02,18.66,32.19,23.0,10.21,67,0.38,2629.7,1000,28
sherbrooke,YOLO26m,bytetrack,no,53.49,22.77,,,,,38.13,30.62,50.25,48.86,27.04,1,2.45,408.5,1001,20
sherbrooke,YOLO26m,botsort,yes,51.38,27.25,,,,,39.32,31.27,52.73,49.16,26.63,6,4.14,241.7,1001,20
sherbrooke,YOLO26m,strongsort,yes,42.01,30.46,,,,,36.23,29.39,46.67,46.0,23.64,12,7.68,130.2,1001,20
sherbrooke,YOLO26m,ocsort,no,41.87,30.52,,,,,36.19,27.18,49.63,47.51,21.44,2,1.89,527.8,1001,20
sherbrooke,YOLO26m,deepocsort,yes,46.81,28.43,,,,,37.62,28.7,51.38,48.63,24.35,5,5.03,198.9,1001,20
sherbrooke,YOLO26m,hybridsort,yes,47.19,23.84,,,,,35.52,30.36,43.9,43.72,24.84,17,10.9,91.7,1001,20
sherbrooke,YOLO26m,boosttrack,yes,43.15,13.29,,,,,28.22,24.12,35.72,36.66,24.08,5,4.94,202.5,1001,20
sherbrooke,YOLO26m,occluboost,yes,52.11,11.01,,,,,31.56,27.04,38.46,41.81,27.08,4,4.69,213.2,1001,20
sherbrooke,YOLO26m,sfsort,no,41.06,30.47,,,,,35.77,31.68,45.65,38.84,26.09,18,0.37,2669.6,1001,20
rouen,YOLO26m,bytetrack,no,47.72,25.46,17.93,,,,30.37,24.49,46.76,43.24,27.62,2,1.95,511.5,601,16
rouen,YOLO26m,botsort,yes,40.62,29.77,19.54,,,,29.97,23.35,47.07,42.26,25.71,4,3.29,304.3,601,16
rouen,YOLO26m,strongsort,yes,25.79,27.37,12.19,,,,21.78,16.55,34.38,29.47,16.58,15,5.41,184.7,601,16
rouen,YOLO26m,ocsort,no,18.81,25.25,7.6,,,,17.22,11.68,29.61,24.74,10.5,5,1.62,617.3,601,16
rouen,YOLO26m,deepocsort,yes,25.26,23.89,11.6,,,,20.25,14.81,33.84,30.49,15.21,12,4.53,220.5,601,16
rouen,YOLO26m,hybridsort,yes,41.53,20.98,20.43,,,,27.65,23.46,39.9,39.75,25.56,21,9.29,107.7,601,16
rouen,YOLO26m,boosttrack,yes,25.19,21.9,11.66,,,,19.58,14.65,31.99,29.49,15.64,7,4.71,212.1,601,16
rouen,YOLO26m,occluboost,yes,35.36,20.52,13.59,,,,23.16,18.6,36.27,33.65,20.98,13,3.79,263.8,601,16
rouen,YOLO26m,sfsort,no,22.62,29.34,10.41,,,,20.79,21.21,32.23,23.21,21.18,46,0.35,2883.2,601,16
urbantracker,YOLO26m,bytetrack,no,45.96,27.16,9.4,,,,27.51,20.85,39.68,35.26,17.54,17,2.33,428.9,2602,64
urbantracker,YOLO26m,botsort,yes,43.26,31.15,9.56,,,,27.99,20.31,41.87,34.39,15.81,19,4.45,224.7,2602,64
urbantracker,YOLO26m,strongsort,yes,34.67,32.49,5.78,,,,24.31,17.39,35.9,29.57,10.97,39,10.05,99.5,2602,64
urbantracker,YOLO26m,ocsort,no,29.81,31.41,3.6,,,,21.61,14.85,33.06,26.64,7.94,19,2.2,454.6,2602,64
urbantracker,YOLO26m,deepocsort,yes,35.19,30.23,5.61,,,,23.68,16.77,35.72,29.24,11.33,40,5.21,192.0,2602,64
urbantracker,YOLO26m,hybridsort,yes,42.99,26.51,11.9,,,,27.13,22.21,35.3,36.21,18.3,73,10.82,92.4,2602,64
urbantracker,YOLO26m,boosttrack,yes,35.74,22.21,5.89,,,,21.28,15.55,31.77,26.99,11.89,24,5.24,190.9,2602,64
urbantracker,YOLO26m,occluboost,yes,41.31,23.98,6.96,,,,24.08,17.88,36.18,29.99,15.04,24,4.83,207.1,2602,64
urbantracker,YOLO26m,sfsort,no,29.48,32.72,5.11,,,,22.44,19.61,31.01,23.7,14.12,131,0.38,2645.8,2602,64
